シート,行,種別,内容
名簿ワクチン♀,16,同名の個体を区別する符号,レモン 1回目 : 雄犬欄が「プラダ1」。同名の種雄犬が複数いる可能性があります
名簿ワクチン♀,18,所有日を確定できない,パイン : 仕入れ元が不明のため acquired_on が空になります。法令の帳簿項目です
名簿ワクチン♀,19,所有日を確定できない,メロン : 仕入れ元が不明のため acquired_on が空になります。法令の帳簿項目です
名簿ワクチン♀,32,施主確認により補完,ジョジョ 2回目 : 空欄だった出産日に 2024-09-14 を補いました
名簿ワクチン♀,32,施主確認により削除,ジョジョ 5回目（2026-05-21）: 前回と同日の重複行のため取り込みません
名簿ワクチン♀,34,妊娠日数欄に余分な文字,モモ 3回目 : 「59日♀5」の残り「♀5」
名簿ワクチン♀,35,施主確認により削除,クロミ 5回目（2026-04-30）: 前回と同日の重複行のため取り込みません
名簿ワクチン♀,37,分娩方法が分からない,テテ 1回目（2023-08-31）: 妊娠日数欄が空欄のため、自然分娩か帝王切開か判定できません
名簿ワクチン♀,46,所有日を確定できない,ぽにょ : 仕入れ元が不明のため acquired_on が空になります。法令の帳簿項目です
名簿ワクチン♀,46,施主確認により補完,ぽにょ 1回目（2025-10-16）: 空欄だった分娩方法を「帝王切開」にしました
名簿ワクチン♀,46,施主確認により補完,ぽにょ 2回目（2026-04-24）: 空欄だった分娩方法を「帝王切開」にしました
名簿ワクチン♀,53,所有日を確定できない,うる : 仕入れ元が不明のため acquired_on が空になります。法令の帳簿項目です
名簿ワクチン♀,59,妊娠日数欄に余分な文字,琥珀 2回目 : 「60日 M」の残り「M」
名簿ワクチン ♂,36,重複行,「ダンヒル」（誕生日 2022-03-01）は 名簿ワクチン ♂34行目と同名・同誕生日のため、同じ犬とみなして1頭に統合しました
名簿ワクチン ♂,39,同名のため改名,「ハリー」（誕生日 2022-11-07）は現役の犬と同名だが誕生日が違うため、別個体「ハリー（退役）」として取り込みます
名簿ワクチン ♂,40,同名のため改名,「プラダ」（誕生日 2022-08-23）は現役の犬と同名だが誕生日が違うため、別個体「プラダ（退役）」として取り込みます
名簿ワクチン ♂,37,必須項目がほぼ空,つばさ : 体重・マイクロチップ・カラー が未入力です
種雄犬,,外部の種雄犬として登録,歌舞伎（ML）: 外交配の父として登録しました。自舎の所有ではないので法令の帳簿・定期報告には出ません
種雄犬,,外部の種雄犬として登録,ハーレ（BFR）: 外交配の父として登録しました。自舎の所有ではないので法令の帳簿・定期報告には出ません
種雄犬,,外部の種雄犬として登録,アル（TP）: 外交配の父として登録しました。自舎の所有ではないので法令の帳簿・定期報告には出ません
dogs.csv,,★マイクロチップの重複,「プラダ」（2024-05-13）と「プラダ（退役）」（2022-08-23）が同じ番号 392149002464984 です。重複禁止のため「プラダ（退役）」側を空にして投入します。台帳を確認して正しい番号を入れてください
