シート,行,種別,内容
名簿ワクチン♀,16,同名の個体を区別する符号,レモン 1回目 : 雄犬欄が「プラダ1」。同名の種雄犬が複数いる可能性があります
名簿ワクチン♀,18,所有日を確定できない,パイン : 仕入れ元が不明のため acquired_on が空になります。法令の帳簿項目です
名簿ワクチン♀,19,所有日を確定できない,メロン : 仕入れ元が不明のため acquired_on が空になります。法令の帳簿項目です
名簿ワクチン♀,32,出産日が空,ジョジョ 2回目 : 他の項目は入力済みですが出産日がありません（このままでは登録できません）
名簿ワクチン♀,32,同一出産日の重複,ジョジョ : 2026-05-21 が 4回目 と 5回目 に重複しています。同日2回の出産でない限り、どちらかが入力ミスです
名簿ワクチン♀,34,妊娠日数欄に余分な文字,モモ 3回目 : 「59日♀5」の残り「♀5」
名簿ワクチン♀,35,同一出産日の重複,クロミ : 2026-04-30 が 4回目 と 5回目 に重複しています。同日2回の出産でない限り、どちらかが入力ミスです
名簿ワクチン♀,40,毛色を正規化できない,ラン : 「牛」
名簿ワクチン♀,46,毛色を正規化できない,ぽにょ : 「CR H」
名簿ワクチン♀,46,所有日を確定できない,ぽにょ : 仕入れ元が不明のため acquired_on が空になります。法令の帳簿項目です
名簿ワクチン♀,53,所有日を確定できない,うる : 仕入れ元が不明のため acquired_on が空になります。法令の帳簿項目です
名簿ワクチン♀,59,妊娠日数欄に余分な文字,琥珀 2回目 : 「60日 M」の残り「M」
種雄犬,,種雄犬の犬種を判定できない,ドルチェ : 判定不能（TP） → SIRE_BREED_OVERRIDE に追記して再実行してください
種雄犬,,種雄犬の犬種を判定できない,ヴィトン : 矛盾（BFR・TP の複数犬種で「同犬種」の記録がある） → SIRE_BREED_OVERRIDE に追記して再実行してください
種雄犬,,種雄犬の犬種を判定できない,ヴァン : 判定不能（交配記録なし） → SIRE_BREED_OVERRIDE に追記して再実行してください
種雄犬,,種雄犬の犬種を判定できない,ピアジェ : 判定不能（交配記録なし） → SIRE_BREED_OVERRIDE に追記して再実行してください
種雄犬,,種雄犬の犬種を判定できない,モツ : 判定不能（交配記録なし） → SIRE_BREED_OVERRIDE に追記して再実行してください
種雄犬,,種雄犬の犬種を判定できない,モンクレール : 判定不能（交配記録なし） → SIRE_BREED_OVERRIDE に追記して再実行してください
種雄犬,,種雄犬の犬種を判定できない,ハク : 判定不能（交配記録なし） → SIRE_BREED_OVERRIDE に追記して再実行してください
種雄犬,,種雄犬の犬種を判定できない,ウルフ : 判定不能（交配記録なし） → SIRE_BREED_OVERRIDE に追記して再実行してください
種雄犬,,種雄犬の犬種を判定できない,ハーツ : 判定不能（交配記録なし） → SIRE_BREED_OVERRIDE に追記して再実行してください
種雄犬,,種雄犬の犬種を判定できない,ロレックス : 判定不能（交配記録なし） → SIRE_BREED_OVERRIDE に追記して再実行してください
種雄犬,,種雄犬の犬種を判定できない,ダンヒル : 判定不能（交配記録なし） → SIRE_BREED_OVERRIDE に追記して再実行してください
種雄犬,,種雄犬の犬種を判定できない,ゆきお : 判定不能（交配記録なし） → SIRE_BREED_OVERRIDE に追記して再実行してください
種雄犬,,種雄犬の犬種を判定できない,つばさ : 判定不能（交配記録なし） → SIRE_BREED_OVERRIDE に追記して再実行してください
種雄犬,,種雄犬の犬種を判定できない,ポール : 判定不能（交配記録なし） → SIRE_BREED_OVERRIDE に追記して再実行してください
種雄犬,,種雄犬の犬種を判定できない,ラルフ : 判定不能（交配記録なし） → SIRE_BREED_OVERRIDE に追記して再実行してください
種雄犬,,種雄犬の犬種を判定できない,バリー : 判定不能（交配記録なし） → SIRE_BREED_OVERRIDE に追記して再実行してください
種雄犬,,ブロック内で犬種が割れている,ブロック3 : ML1頭・TP1頭
名簿ワクチン ♂,21,種雄犬の犬種が台帳と交配記録で食い違う,ハリー : 交配記録からは TP、台帳のブロック位置は ML。同名の犬が複数いるか、ミックス記号の付け忘れの可能性
名簿ワクチン ♂,16,必須項目がほぼ空,アル : 誕生日・体重・マイクロチップ・カラー が未入力です
名簿ワクチン ♂,39,同名の犬,「ハリー」が 名簿ワクチン ♂ 行21 にも存在します。血統の紐付けが誤る可能性があります
名簿ワクチン ♂,40,同名の犬,「プラダ」が 名簿ワクチン ♂ 行20 にも存在します。血統の紐付けが誤る可能性があります
